"indicador","ano","município","valor"
"Matrícula em distorção no ensino fundamental","2008","Guaraciaba do Norte","1198"
"Matrícula em distorção no ensino fundamental","2008","Guaramiranga","173"
"Matrícula em distorção no ensino fundamental","2008","Hidrolândia","1033"
"Matrícula em distorção no ensino fundamental","2008","Horizonte","1806"
"Matrícula em distorção no ensino fundamental","2008","Ibaretama","467"
"Matrícula em distorção no ensino fundamental","2008","Ibiapina","1014"
"Matrícula em distorção no ensino fundamental","2008","Ibicuitinga","384"
"Matrícula em distorção no ensino fundamental","2008","Icapuí","516"
"Matrícula em distorção no ensino fundamental","2008","Icó","2400"
"Matrícula em distorção no ensino fundamental","2008","Iguatu","2123"
"Matrícula em distorção no ensino fundamental","2008","Independência","425"
"Matrícula em distorção no ensino fundamental","2008","Ipaporanga","221"
"Matrícula em distorção no ensino fundamental","2008","Ipaumirim","511"
"Matrícula em distorção no ensino fundamental","2008","Ipu","1547"
"Matrícula em distorção no ensino fundamental","2008","Ipueiras","1923"
"Matrícula em distorção no ensino fundamental","2008","Iracema","219"
"Matrícula em distorção no ensino fundamental","2008","Irauçuba","889"
"Matrícula em distorção no ensino fundamental","2008","Itaiçaba","87"
"Matrícula em distorção no ensino fundamental","2008","Itaitinga","1161"
"Matrícula em distorção no ensino fundamental","2008","Itapajé","1565"
"Matrícula em distorção no ensino fundamental","2008","Itapipoca","2801"
"Matrícula em distorção no ensino fundamental","2008","Itapiúna","576"
"Matrícula em distorção no ensino fundamental","2008","Itarema","593"
"Matrícula em distorção no ensino fundamental","2008","Itatira","825"
"Matrícula em distorção no ensino fundamental","2008","Jaguaretama","502"
"Matrícula em distorção no ensino fundamental","2008","Jaguaribara","207"
"Matrícula em distorção no ensino fundamental","2008","Jaguaribe","1372"
"Matrícula em distorção no ensino fundamental","2008","Jaguaruana","969"
"Matrícula em distorção no ensino fundamental","2008","Jardim","672"
"Matrícula em distorção no ensino fundamental","2008","Jati","88"
"Matrícula em distorção no ensino fundamental","2008","Jijoca de Jericoacoara","203"
"Matrícula em distorção no ensino fundamental","2008","Juazeiro do Norte","6104"
"Matrícula em distorção no ensino fundamental","2008","Jucás","409"
"Matrícula em distorção no ensino fundamental","2008","Lavras da Mangabeira","1049"
"Matrícula em distorção no ensino fundamental","2008","Limoeiro do Norte","915"
"Matrícula em distorção no ensino fundamental","2008","Madalena","787"
